Rb1,5p3/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
603.86000,-65.36,10.53,-64.94,2.98
603.88000,-65.48,10.54,-64.91,2.98
603.90000,-65.60,10.54,-64.87,2.98
603.92000,-65.72,10.54,-64.83,2.98
603.94000,-65.84,10.54,-64.79,2.99
603.96000,-65.96,10.55,-64.75,2.99
603.98000,-66.08,10.55,-64.71,2.99
604.00000,-66.20,10.55,-64.67,2.99
604.02000,-66.32,10.55,-64.63,2.99
604.04000,-66.44,10.56,-64.59,2.99
604.06000,-66.56,10.56,-64.56,2.99
604.08000,-66.68,10.56,-64.52,2.99
604.10000,-66.80,10.56,-64.48,2.99
604.12000,-66.92,10.57,-64.44,2.99
604.14000,-67.05,10.57,-64.40,2.99
604.16000,-67.17,10.57,-64.35,2.99
604.18000,-67.29,10.58,-64.31,2.99
604.20000,-67.41,10.58,-64.27,2.99
604.22000,-67.54,10.58,-64.23,2.99
604.24000,-67.66,10.58,-64.19,2.99
604.26000,-67.78,10.59,-64.15,2.99
604.28000,-67.91,10.59,-64.11,2.99
604.30000,-68.03,10.59,-64.07,2.99
604.32000,-68.15,10.59,-64.03,2.99
604.34000,-68.28,10.60,-63.98,2.99
604.36000,-68.40,10.60,-63.94,2.99
604.38000,-68.53,10.60,-63.90,2.99
604.40000,-68.65,10.60,-63.86,2.99
604.42000,-68.78,10.61,-63.81,2.99
604.44000,-68.90,10.61,-63.77,2.99
604.46000,-69.03,10.61,-63.73,2.99
604.48000,-69.16,10.61,-63.69,2.99
604.50000,-69.28,10.62,-63.64,2.99
604.52000,-69.41,10.62,-63.60,2.99
604.54000,-69.53,10.62,-63.55,2.99
604.56000,-69.66,10.62,-63.51,2.99
604.58000,-69.79,10.63,-63.47,2.99
604.60000,-69.92,10.63,-63.42,2.99
604.62000,-70.04,10.63,-63.38,2.99
604.64000,-70.17,10.64,-63.33,2.99
604.66000,-70.30,10.64,-63.29,2.99
604.68000,-70.43,10.64,-63.24,2.99
604.70000,-70.56,10.64,-63.20,2.99
604.72000,-70.68,10.65,-63.15,2.99
604.74000,-70.81,10.65,-63.11,2.99
604.76000,-70.94,10.65,-63.06,2.99
604.78000,-71.07,10.65,-63.02,2.99
604.80000,-71.20,10.66,-62.97,2.99
604.82000,-71.33,10.66,-62.92,2.99
604.84000,-71.46,10.66,-62.88,2.99
604.86000,-71.59,10.66,-62.83,2.99
604.88000,-71.72,10.67,-62.78,3.00
604.90000,-71.86,10.67,-62.74,3.00
604.92000,-71.99,10.67,-62.69,3.00
604.94000,-72.12,10.68,-62.64,3.00
604.96000,-72.25,10.68,-62.60,3.00
604.98000,-72.38,10.68,-62.55,3.00
605.00000,-72.51,10.68,-62.50,3.00
605.02000,-72.65,10.69,-62.45,3.00
605.04000,-72.78,10.69,-62.40,3.00
605.06000,-72.91,10.69,-62.35,3.00
605.08000,-73.05,10.69,-62.31,3.00
605.10000,-73.18,10.70,-62.26,3.00
605.12000,-73.32,10.70,-62.21,3.00
605.14000,-73.45,10.70,-62.16,3.00
605.16000,-73.58,10.70,-62.11,3.00
605.18000,-73.72,10.71,-62.06,3.00
605.20000,-73.85,10.71,-62.01,3.00
605.22000,-73.99,10.71,-61.96,3.00
605.24000,-74.13,10.72,-61.91,3.00
605.26000,-74.26,10.72,-61.86,3.00
605.28000,-74.40,10.72,-61.81,3.00
605.30000,-74.53,10.72,-61.76,3.00
605.32000,-74.67,10.73,-61.70,3.00
605.34000,-74.81,10.73,-61.65,3.00
605.36000,-74.95,10.73,-61.60,3.00
605.38000,-75.08,10.73,-61.55,3.00
605.40000,-75.22,10.74,-61.50,3.00
605.42000,-75.36,10.74,-61.44,3.00
605.44000,-75.50,10.74,-61.39,3.00
605.46000,-75.64,10.75,-61.34,3.00
605.48000,-75.78,10.75,-61.28,3.00
605.50000,-75.92,10.75,-61.23,3.00
605.52000,-76.06,10.75,-61.18,3.00
605.54000,-76.20,10.76,-61.12,3.00
605.56000,-76.34,10.76,-61.07,3.00
605.58000,-76.48,10.76,-61.02,3.00
605.60000,-76.62,10.76,-60.96,3.00
605.62000,-76.76,10.77,-60.91,3.00
605.64000,-76.90,10.77,-60.85,3.01
605.66000,-77.04,10.77,-60.80,3.01
605.68000,-77.19,10.78,-60.74,3.01
605.70000,-77.33,10.78,-60.68,3.01
605.72000,-77.47,10.78,-60.63,3.01
605.74000,-77.62,10.78,-60.57,3.01
605.76000,-77.76,10.79,-60.52,3.01
605.78000,-77.90,10.79,-60.46,3.01
605.80000,-78.05,10.79,-60.40,3.01
605.82000,-78.19,10.80,-60.34,3.01
605.84000,-78.34,10.80,-60.29,3.01
605.86000,-78.48,10.80,-60.23,3.01
605.88000,-78.63,10.80,-60.17,3.01
605.90000,-78.77,10.81,-60.11,3.01
605.92000,-78.92,10.81,-60.05,3.01
605.94000,-79.07,10.81,-60.00,3.01
605.96000,-79.21,10.81,-59.94,3.01
605.98000,-79.36,10.82,-59.88,3.01
606.00000,-79.51,10.82,-59.82,3.01
606.02000,-79.66,10.82,-59.76,3.01
606.04000,-79.81,10.83,-59.70,3.01
606.06000,-79.95,10.83,-59.64,3.01
606.08000,-80.10,10.83,-59.58,3.01
606.10000,-80.25,10.83,-59.52,3.01
606.12000,-80.40,10.84,-59.45,3.01
606.14000,-80.55,10.84,-59.39,3.01
606.16000,-80.70,10.84,-59.33,3.01
606.18000,-80.85,10.85,-59.27,3.01
606.20000,-81.01,10.85,-59.21,3.01
606.22000,-81.16,10.85,-59.14,3.01
606.24000,-81.31,10.85,-59.08,3.01
606.26000,-81.46,10.86,-59.02,3.01
