Cs_n,Na_n,C6_GHz_um6
67,66,291.8715550349317
67,67,724.5575214166964
67,68,232.00555364232565
67,69,135.5971039565428
67,70,95.03353085175593
67,71,75.46680929255565
67,72,63.77405577287886
68,63,246.5780878023443
68,64,839.611388218691
68,65,554.7075429005228
68,66,784.9108281516874
68,67,427.5236672359369
68,68,742.4976804092614
68,69,276.4711458102403
68,70,160.84527921802817
68,71,115.15254826344324
68,72,91.23632968702724
68,73,76.93576402851681
69,64,233.6096841663873
69,65,841.4304567623881
69,66,657.427652532093
69,67,913.2405330221815
69,68,493.9482982827042
69,69,759.4452925205939
69,70,333.577474084236
69,71,193.75242412690727
69,72,138.34732949782912
69,73,109.379746050016
69,74,91.97669205236227
70,65,324.989726926836
70,66,847.6178380656689
70,67,770.0850804141537
70,68,1054.5697614987334
70,69,565.2271697316696
70,70,871.51128261648
70,71,400.29296051212447
70,72,232.3654052779497
70,73,165.796676346778
70,74,130.96408872765073
70,75,110.04758993631339
