Cs Rydberg State (n), Rb-Cs Energy Shift (GHz), Na-Cs Energy Shift (GHz)
58, 0.011679336903784874, 0.009537070828600773
58, 0.004561515046212791, -0.0010539167060283976
58, 0.009204007191424534, -0.006181106961934005
58, -0.004351693197822821, -0.0020607552742365884
58, 0.0017784966337273536, -0.0012288813329022548
58, -0.002191974575775131, -0.0008966609913879293
58, -0.0013068313746489805, -0.000717156438329328
58, -0.0009406355004431957, -0.0006005128155680701
59, -0.0007833777902460687, -0.012556797421358025
59, -0.002556704972585055, -0.010354403879721058
59, -0.00010155796062010004, 0.007118903974192844
59, 0.013330607800743327, 0.011604503928100607
59, 0.005615194382604541, -0.001667510255301235
59, 0.011150809870115361, -0.008235210141521355
59, -0.006925930692446976, -0.0026594874565445768
59, -0.001491013865050285, -0.0015500644053067644
59, -0.002799089254419731, -0.0011220157058950935
59, -0.0016499617930551705, -0.0008900184963840802
59, -0.0011791230857844978, -0.000748916763433618
60, -0.00100591671165392, -0.020778597874735127
60, -0.0034808535306426413, -0.013574510897487516
60, -0.0008245312475526964, 0.008737110233483317
60, 0.015207374662466508, 0.014075076726250116
60, 0.006885810022268849, -0.001912835223003473
60, 0.013484323858725366, -0.010962576351192816
60, -0.009178712325967389, -0.003472297967083579
60, -0.0041800740951547745, -0.0019454853719464396
60, -0.003565235532101606, -0.0013994478933409043
60, -0.0020069588246209888, -0.0011035119805483957
60, -0.0014728373398136916, -0.0009272237116902286
61, -0.0012866675489853715, -0.034541700344364816
61, -0.004806483228687464, -0.017585215789232358
61, -0.0018128863085128703, 0.010683578858066234
61, 0.01729258722496486, 0.017014941196230343
61, 0.008411151409672966, -0.0029656732046976324
61, 0.016282327701625302, -0.014533505913119844
61, -0.013140738530225063, -0.004680061577011091
61, -0.007177957970646452, -0.0024354738362199644
61, -0.004523982183688694, -0.0017353695106663446
61, -0.0025675235437784914, -0.0013669812529460675
61, -0.0018283289738942128, -0.0011477813656782967
62, -0.0016396507327482443, 0.04013018468503809
62, -0.006807242218577699, -0.02246978093694156
62, -0.0031648565968656664, 0.013015018843295468
62, 0.019583912851868338, 0.020504652016394877
62, 0.010235211116537763, -0.0040790986505890294
62, 0.01963419332030039, -0.019142828322458002
62, -0.018460022233397787, -0.007051227650513757
62, -0.010925058104881626, -0.0030421173312444004
62, -0.005725081452963108, -0.0021489397633029377
62, -0.003212437352907453, -0.0016882596005214805
62, -0.0022655331498620456, -0.0014107382958503658
63, -0.0020842089719219797, 0.03184616802977335
63, -0.010083210731080539, -0.028247035530486835
63, -0.0049987404042271645, 0.0157987567183672
63, 0.02206257708544868, 0.024634277328242703
63, 0.012408818407336207, -0.005433065418236437
63, 0.023639622922935633, -0.024928187236466306
63, -0.025359132910964664, -0.019426133234083827
63, -0.015789259338756113, -0.003853080174065777
63, -0.007226336143992433, -0.0026580108212246436
63, -0.003990234670024092, -0.0020791726261424302
63, -0.0028023086028422144, -0.0017314783422266043
64, -0.002639519273198673, 0.02747657173475218
64, -0.016160248862087695, -0.03486759820336899
64, -0.0074605250625264, 0.019111268913156593
64, 0.024692277007663542, 0.02950701070818808
64, 0.014988542022974784, -0.007071038334281222
64, 0.02841958494585716, -0.03193111358473212
64, -0.033814265355059575, -0.0036497759635208756
64, -0.022153887666150025, -0.004728701914918148
64, -0.009096049134211432, -0.003280663486224768
64, -0.0049433562766147765, -0.002804275955072845
64, -0.0036950786304918008, -0.002389303416757761
65, -0.0033290830142761723, 0.02516795448703089
65, -0.028412800344522728, -0.042211772366894426
65, -0.01072473951934042, 0.023039732714471788
65, 0.027438398003708973, 0.03523553041751359
65, 0.01803977032093822, -0.009007387741705597
65, 0.03409413568495927, -0.04005844808298866
65, -0.04357707941402818, -0.006531410887361293
65, -0.030296119654958733, -0.006149370687830409
65, -0.011654016429701892, -0.0048017421398098776
65, -0.006556398683731305, -0.003946397042813196
65, -0.005041443722419388, -0.0034770729540230887
66, -0.004185589622555716, 0.02401201425017493
66, 0.00913369716863335, -0.05010466384693615
66, -0.014953314423280847, 0.027680432665008883
66, 0.030241535322617412, 0.04194376511927946
66, 0.021630682229327083, -0.01146471862562435
66, 0.040760074739372494, -0.04901278987441043
66, -0.054334725451588683, -0.00989575875587647
66, -0.040638191399307064, -0.008189979471877303
66, -0.015072454942081438, -0.005867959083908672
66, -0.00838326847080662, -0.004315608947996361
66, -0.0061454044907211704, -0.0036842650788810436
67, -0.0052469992661896255, 0.023566074979457653
67, 0.0013357799133325357, -0.05834342308507575
67, -0.020298705450128334, 0.03289857101654704
67, 0.03305985615385463, 0.04952742320601942
67, 0.0256006550537962, -0.014399786171497776
67, 0.048299149552465184, -0.05851103210170715
67, 0.059626020532436416, -0.013125633840296342
67, -0.0526144996579384, -0.009718891039789745
67, -0.018484526950513534, -0.006408423986375324
67, -0.009776542754594544, -0.004995904543480643
67, -0.006776928840272808, -0.004187571238184102
68, -0.00654713780121021, 0.023600863340711466
68, -0.004256149781769368, -0.06692604709903997
68, -0.027022736093613175, 0.038804768005241595
68, 0.03534831035309538, 0.058172024737396334
68, 0.029988579362607626, -0.016708765610990734
68, 0.05715852204579358, -0.06744964994120264
68, 0.05566530929005647, -0.01829656686679219
68, -0.06557709646126686, -0.011944285349637047
68, -0.02256939213390281, -0.007851373541673317
68, -0.0117023915241799, -0.006073588411020574
68, -0.008196687830132011, -0.005068488912993286
69, -0.008398289205097224, 0.023388264489735883
69, -0.009860898688471093, -0.07554639102380482
69, -0.035085391568856775, 0.046644199309784216
69, 0.037606767485820036, 0.06900080858226385
69, 0.03588123768152278, -0.018729932386046373
