Cs1,6s1/2,,,
Wavelength,alpha_0,Uncertainty,alpha_2,Uncertainty
605.10000,-346.97,0.53,0.00,0.00
605.12000,-347.02,0.53,0.00,0.00
605.14000,-347.07,0.53,0.00,0.00
605.16000,-347.12,0.53,0.00,0.00
605.18000,-347.17,0.53,0.00,0.00
605.20000,-347.21,0.53,0.00,0.00
605.22000,-347.26,0.53,0.00,0.00
605.24000,-347.31,0.53,0.00,0.00
605.26000,-347.36,0.53,0.00,0.00
605.28000,-347.41,0.53,0.00,0.00
605.30000,-347.45,0.53,0.00,0.00
605.32000,-347.50,0.53,0.00,0.00
605.34000,-347.55,0.53,0.00,0.00
605.36000,-347.60,0.53,0.00,0.00
605.38000,-347.64,0.53,0.00,0.00
605.40000,-347.69,0.53,0.00,0.00
605.42000,-347.74,0.53,0.00,0.00
605.44000,-347.79,0.53,0.00,0.00
605.46000,-347.84,0.53,0.00,0.00
605.48000,-347.88,0.53,0.00,0.00
605.50000,-347.93,0.53,0.00,0.00
605.52000,-347.98,0.53,0.00,0.00
605.54000,-348.03,0.53,0.00,0.00
605.56000,-348.08,0.53,0.00,0.00
605.58000,-348.12,0.53,0.00,0.00
605.60000,-348.17,0.53,0.00,0.00
605.62000,-348.22,0.53,0.00,0.00
605.64000,-348.27,0.53,0.00,0.00
605.66000,-348.32,0.53,0.00,0.00
605.68000,-348.36,0.53,0.00,0.00
605.70000,-348.41,0.53,0.00,0.00
605.72000,-348.46,0.53,0.00,0.00
605.74000,-348.51,0.53,0.00,0.00
605.76000,-348.56,0.53,0.00,0.00
605.78000,-348.60,0.53,0.00,0.00
605.80000,-348.65,0.53,0.00,0.00
605.82000,-348.70,0.53,0.00,0.00
605.84000,-348.75,0.53,0.00,0.00
605.86000,-348.80,0.53,0.00,0.00
605.88000,-348.84,0.53,0.00,0.00
605.90000,-348.89,0.53,0.00,0.00
605.92000,-348.94,0.53,0.00,0.00
605.94000,-348.99,0.53,0.00,0.00
605.96000,-349.04,0.53,0.00,0.00
605.98000,-349.08,0.53,0.00,0.00
606.00000,-349.13,0.53,0.00,0.00
606.02000,-349.18,0.53,0.00,0.00
606.04000,-349.23,0.53,0.00,0.00
606.06000,-349.28,0.53,0.00,0.00
606.08000,-349.33,0.53,0.00,0.00
606.10000,-349.37,0.53,0.00,0.00
606.12000,-349.42,0.53,0.00,0.00
606.14000,-349.47,0.53,0.00,0.00
606.16000,-349.52,0.53,0.00,0.00
606.18000,-349.57,0.53,0.00,0.00
606.20000,-349.61,0.53,0.00,0.00
606.22000,-349.66,0.53,0.00,0.00
606.24000,-349.71,0.53,0.00,0.00
606.26000,-349.76,0.53,0.00,0.00
606.28000,-349.81,0.53,0.00,0.00
606.30000,-349.86,0.53,0.00,0.00
606.32000,-349.90,0.53,0.00,0.00
606.34000,-349.95,0.53,0.00,0.00
606.36000,-350.00,0.53,0.00,0.00
606.38000,-350.05,0.53,0.00,0.00
606.40000,-350.10,0.53,0.00,0.00
606.42000,-350.15,0.53,0.00,0.00
606.44000,-350.19,0.53,0.00,0.00
606.46000,-350.24,0.53,0.00,0.00
606.48000,-350.29,0.53,0.00,0.00
606.50000,-350.34,0.53,0.00,0.00
606.52000,-350.39,0.53,0.00,0.00
606.54000,-350.44,0.53,0.00,0.00
606.56000,-350.48,0.53,0.00,0.00
606.58000,-350.53,0.53,0.00,0.00
606.60000,-350.58,0.53,0.00,0.00
606.62000,-350.63,0.53,0.00,0.00
606.64000,-350.68,0.53,0.00,0.00
606.66000,-350.73,0.53,0.00,0.00
606.68000,-350.77,0.53,0.00,0.00
606.70000,-350.82,0.53,0.00,0.00
606.72000,-350.87,0.53,0.00,0.00
606.74000,-350.92,0.53,0.00,0.00
606.76000,-350.97,0.53,0.00,0.00
606.78000,-351.02,0.53,0.00,0.00
606.80000,-351.06,0.53,0.00,0.00
606.82000,-351.11,0.53,0.00,0.00
606.84000,-351.16,0.53,0.00,0.00
606.86000,-351.21,0.53,0.00,0.00
606.88000,-351.26,0.53,0.00,0.00
606.90000,-351.31,0.53,0.00,0.00
606.92000,-351.36,0.53,0.00,0.00
606.94000,-351.40,0.53,0.00,0.00
606.96000,-351.45,0.53,0.00,0.00
606.98000,-351.50,0.53,0.00,0.00
607.00000,-351.55,0.53,0.00,0.00
607.02000,-351.60,0.53,0.00,0.00
607.04000,-351.65,0.53,0.00,0.00
607.06000,-351.69,0.53,0.00,0.00
607.08000,-351.74,0.53,0.00,0.00
607.10000,-351.79,0.53,0.00,0.00
607.12000,-351.84,0.53,0.00,0.00
607.14000,-351.89,0.53,0.00,0.00
607.16000,-351.94,0.53,0.00,0.00
607.18000,-351.99,0.53,0.00,0.00
607.20000,-352.03,0.53,0.00,0.00
607.22000,-352.08,0.53,0.00,0.00
607.24000,-352.13,0.53,0.00,0.00
607.26000,-352.18,0.53,0.00,0.00
607.28000,-352.23,0.53,0.00,0.00
607.30000,-352.28,0.53,0.00,0.00
607.32000,-352.33,0.53,0.00,0.00
607.34000,-352.38,0.53,0.00,0.00
607.36000,-352.42,0.54,0.00,0.00
607.38000,-352.47,0.54,0.00,0.00
607.40000,-352.52,0.54,0.00,0.00
607.42000,-352.57,0.54,0.00,0.00
607.44000,-352.62,0.54,0.00,0.00
607.46000,-352.67,0.54,0.00,0.00
607.48000,-352.72,0.54,0.00,0.00
607.50000,-352.76,0.54,0.00,0.00
607.52000,-352.81,0.54,0.00,0.00
607.54000,-352.86,0.54,0.00,0.00
607.56000,-352.91,0.54,0.00,0.00
607.58000,-352.96,0.54,0.00,0.00
607.60000,-353.01,0.54,0.00,0.00
607.62000,-353.06,0.54,0.00,0.00
607.64000,-353.11,0.54,0.00,0.00
607.66000,-353.15,0.54,0.00,0.00
607.68000,-353.20,0.54,0.00,0.00
607.70000,-353.25,0.54,0.00,0.00
607.72000,-353.30,0.54,0.00,0.00
607.74000,-353.35,0.54,0.00,0.00
607.76000,-353.40,0.54,0.00,0.00
607.78000,-353.45,0.54,0.00,0.00
607.80000,-353.50,0.54,0.00,0.00
607.82000,-353.55,0.54,0.00,0.00
607.84000,-353.59,0.54,0.00,0.00
607.86000,-353.64,0.54,0.00,0.00
607.88000,-353.69,0.54,0.00,0.00
607.90000,-353.74,0.54,0.00,0.00
607.92000,-353.79,0.54,0.00,0.00
607.94000,-353.84,0.54,0.00,0.00
607.96000,-353.89,0.54,0.00,0.00
607.98000,-353.94,0.54,0.00,0.00
608.00000,-353.98,0.54,0.00,0.00
608.02000,-354.03,0.54,0.00,0.00
608.04000,-354.08,0.54,0.00,0.00
608.06000,-354.13,0.54,0.00,0.00
608.08000,-354.18,0.54,0.00,0.00
608.10000,-354.23,0.54,0.00,0.00
608.12000,-354.28,0.54,0.00,0.00
608.14000,-354.33,0.54,0.00,0.00
608.16000,-354.38,0.54,0.00,0.00
608.18000,-354.43,0.54,0.00,0.00
608.20000,-354.47,0.54,0.00,0.00
608.22000,-354.52,0.54,0.00,0.00
608.24000,-354.57,0.54,0.00,0.00
608.26000,-354.62,0.54,0.00,0.00
608.28000,-354.67,0.54,0.00,0.00
608.30000,-354.72,0.54,0.00,0.00
608.32000,-354.77,0.54,0.00,0.00
608.34000,-354.82,0.54,0.00,0.00
608.36000,-354.87,0.54,0.00,0.00
608.38000,-354.92,0.54,0.00,0.00
608.40000,-354.96,0.54,0.00,0.00
608.42000,-355.01,0.54,0.00,0.00
608.44000,-355.06,0.54,0.00,0.00
608.46000,-355.11,0.54,0.00,0.00
608.48000,-355.16,0.54,0.00,0.00
608.50000,-355.21,0.54,0.00,0.00
608.52000,-355.26,0.54,0.00,0.00
608.54000,-355.31,0.54,0.00,0.00
608.56000,-355.36,0.54,0.00,0.00
608.58000,-355.41,0.54,0.00,0.00
608.60000,-355.46,0.54,0.00,0.00
608.62000,-355.50,0.54,0.00,0.00
608.64000,-355.55,0.54,0.00,0.00
608.66000,-355.60,0.54,0.00,0.00
608.68000,-355.65,0.54,0.00,0.00
608.70000,-355.70,0.54,0.00,0.00
608.72000,-355.75,0.54,0.00,0.00
608.74000,-355.80,0.54,0.00,0.00
608.76000,-355.85,0.54,0.00,0.00
608.78000,-355.90,0.54,0.00,0.00
608.80000,-355.95,0.54,0.00,0.00
608.82000,-356.00,0.54,0.00,0.00
608.84000,-356.05,0.54,0.00,0.00
608.86000,-356.10,0.54,0.00,0.00
608.88000,-356.14,0.54,0.00,0.00
608.90000,-356.19,0.54,0.00,0.00
608.92000,-356.24,0.54,0.00,0.00
608.94000,-356.29,0.54,0.00,0.00
608.96000,-356.34,0.54,0.00,0.00
608.98000,-356.39,0.54,0.00,0.00
609.00000,-356.44,0.54,0.00,0.00
609.02000,-356.49,0.54,0.00,0.00
609.04000,-356.54,0.54,0.00,0.00
609.06000,-356.59,0.54,0.00,0.00
609.08000,-356.64,0.54,0.00,0.00
609.10000,-356.69,0.54,0.00,0.00
609.12000,-356.74,0.54,0.00,0.00
609.14000,-356.79,0.54,0.00,0.00
609.16000,-356.83,0.54,0.00,0.00
609.18000,-356.88,0.54,0.00,0.00
609.20000,-356.93,0.54,0.00,0.00
609.22000,-356.98,0.54,0.00,0.00
609.24000,-357.03,0.54,0.00,0.00
609.26000,-357.08,0.54,0.00,0.00
609.28000,-357.13,0.54,0.00,0.00
609.30000,-357.18,0.54,0.00,0.00
609.32000,-357.23,0.54,0.00,0.00
609.34000,-357.28,0.54,0.00,0.00
609.36000,-357.33,0.54,0.00,0.00
609.38000,-357.38,0.54,0.00,0.00
609.40000,-357.43,0.54,0.00,0.00
609.42000,-357.48,0.54,0.00,0.00
609.44000,-357.53,0.54,0.00,0.00
609.46000,-357.58,0.54,0.00,0.00
609.48000,-357.63,0.54,0.00,0.00
609.50000,-357.68,0.54,0.00,0.00
609.52000,-357.72,0.54,0.00,0.00
609.54000,-357.77,0.54,0.00,0.00
609.56000,-357.82,0.54,0.00,0.00
609.58000,-357.87,0.54,0.00,0.00
609.60000,-357.92,0.54,0.00,0.00
609.62000,-357.97,0.54,0.00,0.00
609.64000,-358.02,0.54,0.00,0.00
609.66000,-358.07,0.54,0.00,0.00
609.68000,-358.12,0.54,0.00,0.00
609.70000,-358.17,0.54,0.00,0.00
609.72000,-358.22,0.54,0.00,0.00
609.74000,-358.27,0.54,0.00,0.00
609.76000,-358.32,0.54,0.00,0.00
609.78000,-358.37,0.54,0.00,0.00
609.80000,-358.42,0.54,0.00,0.00
609.82000,-358.47,0.54,0.00,0.00
609.84000,-358.52,0.54,0.00,0.00
609.86000,-358.57,0.54,0.00,0.00
609.88000,-358.62,0.54,0.00,0.00
609.90000,-358.67,0.54,0.00,0.00
609.92000,-358.72,0.54,0.00,0.00
609.94000,-358.77,0.54,0.00,0.00
609.96000,-358.82,0.54,0.00,0.00
609.98000,-358.87,0.54,0.00,0.00
610.00000,-358.92,0.54,0.00,0.00
610.02000,-358.96,0.54,0.00,0.00
610.04000,-359.01,0.54,0.00,0.00
610.06000,-359.06,0.54,0.00,0.00
610.08000,-359.11,0.54,0.00,0.00
610.10000,-359.16,0.54,0.00,0.00
610.12000,-359.21,0.54,0.00,0.00
610.14000,-359.26,0.54,0.00,0.00
610.16000,-359.31,0.54,0.00,0.00
610.18000,-359.36,0.54,0.00,0.00
610.20000,-359.41,0.54,0.00,0.00
610.22000,-359.46,0.54,0.00,0.00
610.24000,-359.51,0.54,0.00,0.00
610.26000,-359.56,0.54,0.00,0.00
610.28000,-359.61,0.54,0.00,0.00
610.30000,-359.66,0.54,0.00,0.00
610.32000,-359.71,0.54,0.00,0.00
610.34000,-359.76,0.54,0.00,0.00
610.36000,-359.81,0.54,0.00,0.00
610.38000,-359.86,0.54,0.00,0.00
610.40000,-359.91,0.54,0.00,0.00
610.42000,-359.96,0.54,0.00,0.00
610.44000,-360.01,0.54,0.00,0.00
610.46000,-360.06,0.54,0.00,0.00
610.48000,-360.11,0.54,0.00,0.00
610.50000,-360.16,0.54,0.00,0.00
610.52000,-360.21,0.54,0.00,0.00
610.54000,-360.26,0.54,0.00,0.00
610.56000,-360.31,0.54,0.00,0.00
610.58000,-360.36,0.54,0.00,0.00
610.60000,-360.41,0.54,0.00,0.00
610.62000,-360.46,0.54,0.00,0.00
610.64000,-360.51,0.54,0.00,0.00
610.66000,-360.56,0.54,0.00,0.00
610.68000,-360.61,0.54,0.00,0.00
610.70000,-360.66,0.54,0.00,0.00
610.72000,-360.71,0.55,0.00,0.00
610.74000,-360.76,0.55,0.00,0.00
610.76000,-360.81,0.55,0.00,0.00
610.78000,-360.86,0.55,0.00,0.00
610.80000,-360.91,0.55,0.00,0.00
610.82000,-360.96,0.55,0.00,0.00
610.84000,-361.01,0.55,0.00,0.00
610.86000,-361.06,0.55,0.00,0.00
610.88000,-361.11,0.55,0.00,0.00
610.90000,-361.16,0.55,0.00,0.00
610.92000,-361.21,0.55,0.00,0.00
610.94000,-361.26,0.55,0.00,0.00
610.96000,-361.31,0.55,0.00,0.00
610.98000,-361.36,0.55,0.00,0.00
611.00000,-361.41,0.55,0.00,0.00
611.02000,-361.46,0.55,0.00,0.00
611.04000,-361.51,0.55,0.00,0.00
611.06000,-361.56,0.55,0.00,0.00
611.08000,-361.61,0.55,0.00,0.00
611.10000,-361.66,0.55,0.00,0.00
611.12000,-361.71,0.55,0.00,0.00
611.14000,-361.76,0.55,0.00,0.00
611.16000,-361.81,0.55,0.00,0.00
611.18000,-361.86,0.55,0.00,0.00
611.20000,-361.91,0.55,0.00,0.00
611.22000,-361.96,0.55,0.00,0.00
611.24000,-362.01,0.55,0.00,0.00
611.26000,-362.06,0.55,0.00,0.00
611.28000,-362.11,0.55,0.00,0.00
611.30000,-362.16,0.55,0.00,0.00
611.32000,-362.21,0.55,0.00,0.00
611.34000,-362.26,0.55,0.00,0.00
611.36000,-362.31,0.55,0.00,0.00
611.38000,-362.36,0.55,0.00,0.00
611.40000,-362.41,0.55,0.00,0.00
611.42000,-362.46,0.55,0.00,0.00
611.44000,-362.51,0.55,0.00,0.00
611.46000,-362.56,0.55,0.00,0.00
611.48000,-362.62,0.55,0.00,0.00
611.50000,-362.67,0.55,0.00,0.00
611.52000,-362.72,0.55,0.00,0.00
611.54000,-362.77,0.55,0.00,0.00
611.56000,-362.82,0.55,0.00,0.00
611.58000,-362.87,0.55,0.00,0.00
611.60000,-362.92,0.55,0.00,0.00
611.62000,-362.97,0.55,0.00,0.00
611.64000,-363.02,0.55,0.00,0.00
611.66000,-363.07,0.55,0.00,0.00
611.68000,-363.12,0.55,0.00,0.00
611.70000,-363.17,0.55,0.00,0.00
611.72000,-363.22,0.55,0.00,0.00
611.74000,-363.27,0.55,0.00,0.00
611.76000,-363.32,0.55,0.00,0.00
611.78000,-363.37,0.55,0.00,0.00
611.80000,-363.42,0.55,0.00,0.00
611.82000,-363.47,0.55,0.00,0.00
611.84000,-363.52,0.55,0.00,0.00
611.86000,-363.57,0.55,0.00,0.00
611.88000,-363.62,0.55,0.00,0.00
611.90000,-363.67,0.55,0.00,0.00
611.92000,-363.72,0.55,0.00,0.00
611.94000,-363.77,0.55,0.00,0.00
611.96000,-363.82,0.55,0.00,0.00
611.98000,-363.88,0.55,0.00,0.00
612.00000,-363.93,0.55,0.00,0.00
612.02000,-363.98,0.55,0.00,0.00
612.04000,-364.03,0.55,0.00,0.00
612.06000,-364.08,0.55,0.00,0.00
612.08000,-364.13,0.55,0.00,0.00
612.10000,-364.18,0.55,0.00,0.00
612.12000,-364.23,0.55,0.00,0.00
612.14000,-364.28,0.55,0.00,0.00
612.16000,-364.33,0.55,0.00,0.00
612.18000,-364.38,0.55,0.00,0.00
612.20000,-364.43,0.55,0.00,0.00
612.22000,-364.48,0.55,0.00,0.00
612.24000,-364.53,0.55,0.00,0.00
612.26000,-364.58,0.55,0.00,0.00
612.28000,-364.63,0.55,0.00,0.00
612.30000,-364.68,0.55,0.00,0.00
612.32000,-364.73,0.55,0.00,0.00
612.34000,-364.79,0.55,0.00,0.00
612.36000,-364.84,0.55,0.00,0.00
612.38000,-364.89,0.55,0.00,0.00
612.40000,-364.94,0.55,0.00,0.00
612.42000,-364.99,0.55,0.00,0.00
612.44000,-365.04,0.55,0.00,0.00
612.46000,-365.09,0.55,0.00,0.00
612.48000,-365.14,0.55,0.00,0.00
612.50000,-365.19,0.55,0.00,0.00
612.52000,-365.24,0.55,0.00,0.00
612.54000,-365.29,0.55,0.00,0.00
612.56000,-365.34,0.55,0.00,0.00
612.58000,-365.39,0.55,0.00,0.00
