Cs1,6p3/2,,,
Wavelength,alpha_0,Uncertainty,alpha_2,Uncertainty
603.29500,-706.57,46.88,548.10,18.50
603.29600,-708.75,46.90,550.26,18.54
603.29700,-710.94,46.91,552.44,18.58
603.29800,-713.15,46.93,554.63,18.62
603.29900,-715.37,46.94,556.84,18.66
603.30000,-717.61,46.96,559.07,18.70
603.30100,-719.86,46.97,561.31,18.75
603.30200,-722.13,46.99,563.57,18.79
603.30300,-724.42,47.00,565.84,18.83
603.30400,-726.72,47.02,568.13,18.87
603.30500,-729.04,47.03,570.44,18.91
603.30600,-731.38,47.05,572.77,18.96
603.30700,-733.74,47.07,575.11,19.00
603.30800,-736.11,47.08,577.47,19.04
603.30900,-738.50,47.10,579.85,19.09
603.31000,-740.91,47.12,582.24,19.13
603.31100,-743.33,47.13,584.66,19.18
603.31200,-745.78,47.15,587.09,19.22
603.31300,-748.24,47.17,589.54,19.27
603.31400,-750.72,47.18,592.01,19.31
603.31500,-753.22,47.20,594.50,19.36
603.31600,-755.74,47.22,597.00,19.41
603.31700,-758.28,47.24,599.53,19.45
603.31800,-760.84,47.26,602.08,19.50
603.31900,-763.42,47.28,604.64,19.55
603.32000,-766.02,47.29,607.23,19.60
603.32100,-768.64,47.31,609.84,19.65
603.32200,-771.28,47.33,612.46,19.70
603.32300,-773.94,47.35,615.11,19.75
603.32400,-776.62,47.37,617.78,19.80
603.32500,-779.32,47.39,620.47,19.85
603.32600,-782.05,47.41,623.18,19.90
603.32700,-784.79,47.43,625.91,19.95
603.32800,-787.56,47.46,628.67,20.00
603.32900,-790.35,47.48,631.44,20.06
603.33000,-793.16,47.50,634.24,20.11
603.33100,-796.00,47.52,637.07,20.16
603.33200,-798.85,47.54,639.91,20.22
603.33300,-801.74,47.56,642.78,20.27
603.33400,-804.64,47.59,645.68,20.33
603.33500,-807.57,47.61,648.59,20.38
603.33600,-810.53,47.63,651.53,20.44
603.33700,-813.50,47.66,654.50,20.50
603.33800,-816.51,47.68,657.49,20.56
603.33900,-819.54,47.70,660.51,20.61
603.34000,-822.59,47.73,663.55,20.67
603.34100,-825.67,47.75,666.62,20.73
603.34200,-828.78,47.78,669.71,20.79
603.34300,-831.91,47.80,672.83,20.85
603.34400,-835.07,47.83,675.98,20.91
603.34500,-838.26,47.85,679.15,20.98
603.34600,-841.47,47.88,682.35,21.04
603.34700,-844.71,47.91,685.58,21.10
603.34800,-847.99,47.93,688.84,21.16
603.34900,-851.28,47.96,692.13,21.23
603.35000,-854.61,47.99,695.44,21.29
603.35100,-857.97,48.02,698.79,21.36
603.35200,-861.36,48.04,702.16,21.43
603.35300,-864.78,48.07,705.57,21.49
603.35400,-868.23,48.10,709.01,21.56
603.35500,-871.71,48.13,712.47,21.63
603.35600,-875.22,48.16,715.97,21.70
603.35700,-878.76,48.19,719.50,21.77
603.35800,-882.34,48.22,723.07,21.84
603.35900,-885.95,48.25,726.66,21.91
603.36000,-889.59,48.29,730.29,21.98
603.36100,-893.26,48.32,733.95,22.06
603.36200,-896.97,48.35,737.65,22.13
603.36300,-900.72,48.38,741.38,22.20
603.36400,-904.50,48.42,745.15,22.28
603.36500,-908.31,48.45,748.95,22.36
603.36600,-912.16,48.49,752.79,22.43
603.36700,-916.05,48.52,756.67,22.51
603.36800,-919.98,48.56,760.58,22.59
603.36900,-923.94,48.59,764.53,22.67
603.37000,-927.94,48.63,768.52,22.75
603.37100,-931.98,48.67,772.55,22.83
603.37200,-936.07,48.70,776.62,22.91
603.37300,-940.19,48.74,780.72,23.00
603.37400,-944.35,48.78,784.87,23.08
603.37500,-948.55,48.82,789.06,23.17
603.37600,-952.79,48.86,793.29,23.25
603.37700,-957.08,48.90,797.57,23.34
603.37800,-961.41,48.94,801.88,23.43
603.37900,-965.78,48.98,806.25,23.51
603.38000,-970.20,49.02,810.65,23.60
603.38100,-974.66,49.07,815.10,23.70
603.38200,-979.17,49.11,819.60,23.79
603.38300,-983.73,49.15,824.14,23.88
603.38400,-988.33,49.20,828.73,23.98
603.38500,-992.98,49.24,833.37,24.07
603.38600,-997.68,49.29,838.06,24.17
603.38700,-1002.43,49.34,842.79,24.26
603.38800,-1007.23,49.38,847.58,24.36
603.38900,-1012.08,49.43,852.42,24.46
603.39000,-1016.98,49.48,857.31,24.56
603.39100,-1021.94,49.53,862.25,24.67
603.39200,-1026.95,49.58,867.25,24.77
603.39300,-1032.01,49.63,872.30,24.88
603.39400,-1037.13,49.69,877.41,24.98
603.39500,-1042.31,49.74,882.57,25.09
603.39600,-1047.54,49.79,887.79,25.20
603.39700,-1052.83,49.85,893.07,25.31
603.39800,-1058.19,49.90,898.41,25.42
603.39900,-1063.60,49.96,903.81,25.53
603.40000,-1069.07,50.02,909.27,25.65
603.40100,-1074.60,50.07,914.79,25.76
603.40200,-1080.20,50.13,920.38,25.88
603.40300,-1085.87,50.19,926.03,26.00
603.40400,-1091.60,50.26,931.74,26.12
